ID,Date,Season,Team,Opponent,Venue,Rk_x,G-PK_x,Age_x,W_x,D_x,L_x,GD_x,Pts_x,GF_x,WR_x,Rk_y,G-PK_y,Age_y,W_y,D_y,L_y,GD_y,Pts_y,GF_y,WR_y
0,2020-08-02,2020,Trondheims-Ørn,Klepp,Home,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364
1,2020-07-10,2020,Røa,Vålerenga,Away,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364
2,2020-08-30,2020,Trondheims-Ørn,Arna-Bjørnar,Home,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727
3,2020-08-26,2020,Vålerenga,Lyn,Home,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364,10.0,22.0,20.1,4.0,8.0,10.0,-14.0,20.0,23.0,0.18181818181818182
4,2020-09-12,2020,Arna-Bjørnar,Kolbotn,Home,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182
5,2020-10-31,2020,Klepp,Arna-Bjørnar,Home,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727
6,2020-08-08,2020,Sandviken,Trondheims-Ørn,Home,4.0,40.0,25.3,12.0,4.0,6.0,11.0,40.0,43.0,0.5454545454545454,7.0,24.0,21.9,8.0,5.0,9.0,4.0,29.0,26.0,0.36363636363636365
7,2020-11-15,2020,Kolbotn,Røa,Away,8.0,32.0,21.8,7.0,6.0,9.0,-4.0,27.0,35.0,0.3181818181818182,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182
8,2020-08-12,2020,Røa,Vålerenga,Home,6.0,35.0,22.9,7.0,8.0,7.0,5.0,29.0,40.0,0.3181818181818182,2.0,40.0,25.2,14.0,4.0,4.0,17.0,46.0,41.0,0.6363636363636364
9,2020-10-31,2020,Arna-Bjørnar,Klepp,Away,9.0,26.0,22.4,6.0,5.0,11.0,-15.0,23.0,26.0,0.2727272727272727,3.0,47.0,25.0,14.0,2.0,6.0,29.0,44.0,48.0,0.6363636363636364
